time,temp
2020-05-26 13:14:10.657070,35.02
2020-05-26 13:14:10.857120,30.16
2020-05-26 13:14:11.058172,29.17
2020-05-26 13:14:11.258220,30.65
2020-05-26 13:14:11.458272,31.53
2020-05-26 13:14:11.659219,35.52
2020-05-26 13:14:11.859373,31.62
2020-05-26 13:14:12.059424,28.32
2020-05-26 13:14:12.259474,31.7
2020-05-26 13:14:12.459523,28.61
2020-05-26 13:14:12.659575,35.99
2020-05-26 13:14:12.859627,28.35
2020-05-26 13:14:13.059674,28.11
2020-05-26 13:14:13.259727,28.22
2020-05-26 13:14:13.459777,30.63
2020-05-26 13:14:13.659825,29.95
2020-05-26 13:14:13.859878,31.33
2020-05-26 13:14:14.059929,35.67
2020-05-26 13:14:14.259978,33.82
2020-05-26 13:14:14.460028,29.9
2020-05-26 13:14:14.660082,28.91
2020-05-26 13:14:14.860128,31.73
2020-05-26 13:14:15.060180,29.2
2020-05-26 13:14:15.260230,31.85
2020-05-26 13:14:15.461280,31.46
2020-05-26 13:14:15.661333,32.66
2020-05-26 13:14:15.861385,30.72
2020-05-26 13:14:16.061432,30.17
2020-05-26 13:14:16.262375,29.52
2020-05-26 13:14:16.462535,33.95
2020-05-26 13:14:16.662584,29.89
2020-05-26 13:14:16.863527,34.93
2020-05-26 13:14:17.063687,32.88
2020-05-26 13:14:17.263735,30.73
2020-05-26 13:14:17.463784,30.13
2020-05-26 13:14:17.663836,32.27
2020-05-26 13:14:17.863886,28.86
2020-05-26 13:14:18.063937,33.92
2020-05-26 13:14:18.263988,31.55
2020-05-26 13:14:18.464039,31.81
2020-05-26 13:14:18.664087,29.95
2020-05-26 13:14:18.864139,34.07
2020-05-26 13:14:19.064190,30.95
2020-05-26 13:14:19.264239,32.01
2020-05-26 13:14:19.467184,30.47
2020-05-26 13:14:19.667345,31.29
2020-05-26 13:14:19.867393,28.03
2020-05-26 13:14:20.075341,35.84
2020-05-26 13:14:20.275497,29.1
2020-05-26 13:14:20.475544,30.74
2020-05-26 13:14:20.675596,31.38
2020-05-26 13:14:20.875648,30.24
2020-05-26 13:14:21.075698,33.92
2020-05-26 13:14:21.275747,28.43
2020-05-26 13:14:21.476689,35.87
2020-05-26 13:14:21.676847,28.82
2020-05-26 13:14:21.879795,33.96
2020-05-26 13:14:22.079952,31.3
2020-05-26 13:14:22.279999,28.31
2020-05-26 13:14:22.480051,31.63
2020-05-26 13:14:22.680102,32.22
2020-05-26 13:14:22.880149,29.63
2020-05-26 13:14:23.080202,29.94
2020-05-26 13:14:23.280252,32.52
2020-05-26 13:14:23.480302,30.89
2020-05-26 13:14:23.680352,34.34
2020-05-26 13:14:23.880404,34.52
2020-05-26 13:14:24.080451,31.46
2020-05-26 13:14:24.280504,33.23
2020-05-26 13:14:24.480554,35.18
2020-05-26 13:14:24.680604,35.22
2020-05-26 13:14:24.880655,28.59
2020-05-26 13:14:25.080706,31.23
2020-05-26 13:14:25.280754,35.18
2020-05-26 13:14:25.480806,35.29
2020-05-26 13:14:25.681756,31.69
2020-05-26 13:14:25.881906,30.19
2020-05-26 13:14:26.081959,33.17
2020-05-26 13:14:26.282010,29.44
2020-05-26 13:14:26.482059,35.08
2020-05-26 13:14:26.682110,29.48
2020-05-26 13:14:26.882164,35.99
2020-05-26 13:14:27.082212,34.38
2020-05-26 13:14:27.282260,32.35
2020-05-26 13:14:27.482312,29.37
2020-05-26 13:14:27.682363,32.31
2020-05-26 13:14:27.883306,31.88
2020-05-26 13:14:28.083356,32.0
2020-05-26 13:14:28.283407,34.64
2020-05-26 13:14:28.483565,32.8
2020-05-26 13:14:28.684614,30.8
2020-05-26 13:14:28.885668,30.35
2020-05-26 13:14:29.085716,34.75
2020-05-26 13:14:29.285766,31.11
2020-05-26 13:14:29.486711,28.84
2020-05-26 13:14:29.686867,33.15
2020-05-26 13:14:29.887917,31.36
2020-05-26 13:14:30.088914,35.98
2020-05-26 13:14:30.289019,30.4
2020-05-26 13:14:30.489071,32.09
2020-05-26 13:14:30.689122,32.75
2020-05-26 13:14:30.889169,33.96
2020-05-26 13:14:31.089221,32.76
2020-05-26 13:14:31.289273,33.66
2020-05-26 13:14:31.489323,31.23
2020-05-26 13:14:31.689371,31.18
2020-05-26 13:14:31.889423,30.84
2020-05-26 13:14:32.089472,29.12
2020-05-26 13:14:32.289524,32.16
2020-05-26 13:14:32.489573,32.1
2020-05-26 13:14:32.689623,28.13
2020-05-26 13:14:32.906573,32.04
2020-05-26 13:14:33.106732,33.99
2020-05-26 13:14:33.306779,35.34
2020-05-26 13:14:33.506831,34.62
2020-05-26 13:14:33.706881,35.57
2020-05-26 13:14:33.906931,32.92
2020-05-26 13:14:34.107876,29.49
2020-05-26 13:14:34.308033,29.64
2020-05-26 13:14:34.508082,35.04
2020-05-26 13:14:34.709135,35.52
2020-05-26 13:14:34.909186,29.19
2020-05-26 13:14:35.109234,33.8
2020-05-26 13:14:35.309285,33.05
2020-05-26 13:14:35.509338,32.82
2020-05-26 13:14:35.709385,31.37
2020-05-26 13:14:35.909437,30.4
2020-05-26 13:14:36.109487,30.09
2020-05-26 13:14:36.309537,33.83
2020-05-26 13:14:36.509588,29.27
2020-05-26 13:14:36.709639,29.88
2020-05-26 13:14:36.909688,32.44
2020-05-26 13:14:37.109740,35.71
2020-05-26 13:14:37.309789,33.68
2020-05-26 13:14:37.509840,32.35
2020-05-26 13:14:37.709891,29.83
2020-05-26 13:14:37.909943,28.44
